Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
12/09/2020,17:45,Heerenveen,Willem II,2,0,H,1,0,H
12/09/2020,19:00,Zwolle,Feyenoord,0,2,A,0,1,A
12/09/2020,20:00,Twente,For Sittard,2,0,H,1,0,H
13/09/2020,11:15,FC Emmen,VVV Venlo,3,5,A,1,0,H
13/09/2020,13:30,Heracles,Den Haag,2,0,H,0,0,D
13/09/2020,13:30,Sparta Rotterdam,Ajax,0,1,A,0,1,A
13/09/2020,15:45,Groningen,PSV Eindhoven,1,3,A,0,1,A
13/09/2020,15:45,Waalwijk,Vitesse,0,1,A,0,1,A
18/09/2020,19:00,VVV Venlo,Utrecht,1,1,D,1,0,H
19/09/2020,15:30,AZ Alkmaar,Zwolle,1,1,D,0,1,A
19/09/2020,17:45,Vitesse,Sparta Rotterdam,2,0,H,1,0,H
19/09/2020,19:00,PSV Eindhoven,FC Emmen,2,1,H,1,0,H
19/09/2020,20:00,For Sittard,Heerenveen,1,3,A,0,3,A
20/09/2020,11:15,Den Haag,Groningen,0,1,A,0,1,A
20/09/2020,13:30,Feyenoord,Twente,1,1,D,1,1,D
20/09/2020,13:30,Willem II,Heracles,4,0,H,0,0,D
20/09/2020,15:45,Ajax,Waalwijk,3,0,H,2,0,H
25/09/2020,19:00,Twente,Groningen,3,1,H,2,0,H
26/09/2020,15:30,Zwolle,Sparta Rotterdam,4,0,H,1,0,H
26/09/2020,17:45,For Sittard,AZ Alkmaar,3,3,D,1,1,D
26/09/2020,19:00,Heerenveen,VVV Venlo,1,0,H,1,0,H
26/09/2020,20:00,Ajax,Vitesse,2,1,H,1,0,H
27/09/2020,11:15,Feyenoord,Den Haag,4,2,H,1,1,D
27/09/2020,13:30,Utrecht,Waalwijk,3,1,H,1,0,H
27/09/2020,15:45,FC Emmen,Willem II,1,1,D,1,1,D
27/09/2020,15:45,Heracles,PSV Eindhoven,1,1,D,1,0,H
02/10/2020,19:00,Utrecht,Heerenveen,1,1,D,1,1,D
03/10/2020,15:30,Vitesse,Heracles,3,0,H,2,0,H
03/10/2020,19:00,VVV Venlo,Den Haag,1,2,A,1,1,D
03/10/2020,20:00,Twente,FC Emmen,1,1,D,0,0,D
04/10/2020,11:15,Groningen,Ajax,1,0,H,0,0,D
04/10/2020,13:30,Sparta Rotterdam,AZ Alkmaar,4,4,D,0,4,A
04/10/2020,13:30,Willem II,Feyenoord,1,4,A,1,1,D
04/10/2020,15:45,PSV Eindhoven,For Sittard,2,0,H,1,0,H
17/10/2020,17:45,Heracles,Waalwijk,0,1,A,0,1,A
17/10/2020,19:00,AZ Alkmaar,VVV Venlo,2,2,D,2,0,H
17/10/2020,20:00,Willem II,Twente,0,3,A,0,1,A
18/10/2020,11:15,Feyenoord,Sparta Rotterdam,1,1,D,1,0,H
18/10/2020,13:30,Ajax,Heerenveen,5,1,H,3,0,H
18/10/2020,13:30,Den Haag,Vitesse,0,2,A,0,1,A
18/10/2020,15:45,Groningen,Utrecht,0,0,D,0,0,D
18/10/2020,15:45,Zwolle,PSV Eindhoven,0,3,A,0,3,A
18/10/2020,19:00,FC Emmen,For Sittard,2,2,D,0,2,A
21/10/2020,16:30,Waalwijk,Zwolle,1,1,D,0,0,D
24/10/2020,15:30,VVV Venlo,Ajax,0,13,A,0,4,A
24/10/2020,17:45,Utrecht,Twente,2,1,H,1,1,D
24/10/2020,19:00,Zwolle,Willem II,0,0,D,0,0,D
24/10/2020,20:00,Heerenveen,FC Emmen,4,0,H,2,0,H
25/10/2020,11:15,For Sittard,Groningen,1,3,A,0,2,A
25/10/2020,13:30,Sparta Rotterdam,Heracles,1,1,D,0,0,D
25/10/2020,13:30,Vitesse,PSV Eindhoven,2,1,H,1,0,H
25/10/2020,15:45,Waalwijk,Feyenoord,2,2,D,0,0,D
25/10/2020,19:00,Den Haag,AZ Alkmaar,2,2,D,0,1,A
31/10/2020,17:45,Twente,Zwolle,5,1,H,3,0,H
31/10/2020,19:00,Ajax,For Sittard,5,2,H,2,1,H
31/10/2020,19:00,Groningen,VVV Venlo,2,1,H,1,0,H
31/10/2020,20:00,Willem II,Vitesse,1,3,A,1,0,H
01/11/2020,11:15,Heracles,Utrecht,4,1,H,2,0,H
01/11/2020,13:30,FC Emmen,Feyenoord,2,3,A,2,2,D
01/11/2020,13:30,Sparta Rotterdam,Heerenveen,1,4,A,0,3,A
01/11/2020,15:45,PSV Eindhoven,Den Haag,4,0,H,1,0,H
01/11/2020,19:00,AZ Alkmaar,Waalwijk,3,0,H,1,0,H
06/11/2020,19:00,For Sittard,Zwolle,2,2,D,2,1,H
07/11/2020,15:30,Den Haag,Twente,2,4,A,0,1,A
07/11/2020,17:45,VVV Venlo,Heracles,3,2,H,0,1,A
07/11/2020,20:00,Waalwijk,Sparta Rotterdam,0,2,A,0,0,D
08/11/2020,11:15,Utrecht,Ajax,0,3,A,0,0,D
08/11/2020,13:30,Feyenoord,Groningen,2,0,H,0,0,D
08/11/2020,13:30,Vitesse,FC Emmen,3,1,H,3,0,H
08/11/2020,15:45,Heerenveen,AZ Alkmaar,0,3,A,0,2,A
08/11/2020,19:00,PSV Eindhoven,Willem II,3,0,H,2,0,H
21/11/2020,17:45,Willem II,VVV Venlo,2,1,H,2,1,H
21/11/2020,19:00,Groningen,Vitesse,1,1,D,1,1,D
21/11/2020,20:00,Zwolle,Utrecht,1,1,D,1,0,H
22/11/2020,11:15,Ajax,Heracles,5,0,H,3,0,H
22/11/2020,13:30,For Sittard,Feyenoord,1,3,A,1,2,A
22/11/2020,13:30,Sparta Rotterdam,Den Haag,6,0,H,1,0,H
22/11/2020,15:45,Twente,PSV Eindhoven,1,1,D,0,1,A
22/11/2020,15:45,Waalwijk,Heerenveen,1,1,D,0,1,A
22/11/2020,19:00,AZ Alkmaar,FC Emmen,1,0,H,1,0,H
27/11/2020,19:00,Twente,Waalwijk,0,2,A,0,2,A
28/11/2020,17:45,FC Emmen,Ajax,0,5,A,0,3,A
28/11/2020,19:00,Den Haag,Heerenveen,1,1,D,1,1,D
28/11/2020,20:00,VVV Venlo,Zwolle,2,2,D,1,1,D
29/11/2020,11:15,Vitesse,For Sittard,2,0,H,0,0,D
29/11/2020,13:30,Feyenoord,Utrecht,1,1,D,0,0,D
29/11/2020,13:30,Groningen,Willem II,1,0,H,0,0,D
29/11/2020,15:45,Heracles,AZ Alkmaar,1,2,A,0,2,A
29/11/2020,19:00,PSV Eindhoven,Sparta Rotterdam,1,0,H,0,0,D
04/12/2020,19:00,Sparta Rotterdam,FC Emmen,2,1,H,1,0,H
05/12/2020,15:30,Waalwijk,VVV Venlo,3,2,H,1,1,D
05/12/2020,17:45,For Sittard,Willem II,3,2,H,3,0,H
05/12/2020,19:00,Ajax,Twente,1,2,A,0,1,A
05/12/2020,20:00,Zwolle,Vitesse,2,1,H,0,1,A
06/12/2020,11:15,Feyenoord,Heracles,0,0,D,0,0,D
06/12/2020,13:30,AZ Alkmaar,Groningen,1,2,A,1,0,H
06/12/2020,13:30,Utrecht,Den Haag,1,1,D,0,0,D
06/12/2020,15:45,Heerenveen,PSV Eindhoven,2,2,D,0,1,A
11/12/2020,19:00,Heracles,For Sittard,1,2,A,0,1,A
12/12/2020,15:30,Groningen,Waalwijk,2,0,H,0,0,D
12/12/2020,17:45,FC Emmen,Den Haag,1,1,D,0,1,A
12/12/2020,19:00,Ajax,Zwolle,4,0,H,3,0,H
13/12/2020,11:15,Vitesse,Heerenveen,1,1,D,1,0,H
13/12/2020,13:30,VVV Venlo,Feyenoord,0,3,A,0,0,D
13/12/2020,13:30,Willem II,Sparta Rotterdam,1,3,A,0,2,A
13/12/2020,15:45,PSV Eindhoven,Utrecht,2,1,H,2,0,H
13/12/2020,19:00,Twente,AZ Alkmaar,1,3,A,0,2,A
18/12/2020,19:00,Zwolle,FC Emmen,0,0,D,0,0,D
19/12/2020,15:30,Sparta Rotterdam,Groningen,2,3,A,1,1,D
19/12/2020,17:45,VVV Venlo,Twente,1,2,A,0,1,A
19/12/2020,19:00,Waalwijk,PSV Eindhoven,1,4,A,0,2,A
19/12/2020,20:00,Utrecht,For Sittard,1,1,D,0,0,D
20/12/2020,11:15,Vitesse,Feyenoord,1,0,H,1,0,H
20/12/2020,13:30,Den Haag,Ajax,2,4,A,0,4,A
20/12/2020,13:30,Heerenveen,Heracles,1,2,A,0,1,A
20/12/2020,15:45,AZ Alkmaar,Willem II,5,3,H,2,2,D
22/12/2020,15:30,For Sittard,Waalwijk,2,1,H,1,1,D
22/12/2020,17:45,FC Emmen,Utrecht,2,3,A,2,1,H
22/12/2020,19:00,PSV Eindhoven,VVV Venlo,4,1,H,1,1,D
22/12/2020,20:00,Twente,Sparta Rotterdam,0,2,A,0,1,A
23/12/2020,15:30,AZ Alkmaar,Vitesse,3,1,H,2,0,H
23/12/2020,17:45,Willem II,Ajax,1,1,D,0,1,A
23/12/2020,19:00,Den Haag,Zwolle,0,2,A,0,0,D
23/12/2020,19:00,Groningen,Heracles,0,1,A,0,0,D
23/12/2020,20:00,Feyenoord,Heerenveen,3,0,H,0,0,D
27/12/2020,13:30,Utrecht,AZ Alkmaar,2,2,D,1,0,H
09/01/2021,15:30,Waalwijk,Den Haag,0,1,A,0,1,A
09/01/2021,17:45,FC Emmen,Twente,1,4,A,0,3,A
09/01/2021,19:00,Heracles,Vitesse,0,2,A,0,1,A
09/01/2021,19:00,Zwolle,AZ Alkmaar,1,1,D,1,0,H
09/01/2021,20:00,Utrecht,Groningen,2,2,D,1,2,A
10/01/2021,11:15,Sparta Rotterdam,Feyenoord,0,2,A,0,1,A
10/01/2021,13:30,Heerenveen,For Sittard,1,3,A,0,3,A
10/01/2021,13:30,VVV Venlo,Willem II,2,1,H,0,1,A
10/01/2021,15:45,Ajax,PSV Eindhoven,2,2,D,1,2,A
12/01/2021,17:45,Vitesse,Utrecht,1,0,H,1,0,H
12/01/2021,20:00,Heracles,FC Emmen,4,0,H,2,0,H
13/01/2021,17:45,PSV Eindhoven,AZ Alkmaar,1,3,A,0,2,A
13/01/2021,19:00,Den Haag,VVV Venlo,1,4,A,0,1,A
13/01/2021,19:00,For Sittard,Sparta Rotterdam,0,1,A,0,0,D
13/01/2021,20:00,Feyenoord,Zwolle,1,0,H,0,0,D
14/01/2021,17:45,Heerenveen,Waalwijk,1,1,D,1,0,H
14/01/2021,19:00,Twente,Ajax,1,3,A,0,1,A
14/01/2021,20:00,Willem II,Groningen,2,3,A,0,0,D
16/01/2021,15:30,FC Emmen,Vitesse,1,4,A,0,2,A
16/01/2021,17:45,Sparta Rotterdam,PSV Eindhoven,3,5,A,1,1,D
16/01/2021,19:00,Utrecht,Heracles,2,0,H,1,0,H
16/01/2021,19:00,Zwolle,For Sittard,0,2,A,0,0,D
16/01/2021,20:00,AZ Alkmaar,Den Haag,2,1,H,0,0,D
17/01/2021,11:15,Waalwijk,Willem II,1,1,D,1,0,H
17/01/2021,13:30,Groningen,Twente,2,2,D,0,2,A
17/01/2021,13:30,VVV Venlo,Heerenveen,1,1,D,0,0,D
17/01/2021,15:45,Ajax,Feyenoord,1,0,H,1,0,H
22/01/2021,19:00,Willem II,Zwolle,1,3,A,1,0,H
23/01/2021,15:30,Den Haag,FC Emmen,0,0,D,0,0,D
23/01/2021,17:45,Vitesse,Groningen,1,0,H,1,0,H
23/01/2021,19:00,PSV Eindhoven,Waalwijk,2,0,H,1,0,H
23/01/2021,20:00,Heracles,Heerenveen,1,0,H,0,0,D
24/01/2021,11:15,For Sittard,Ajax,1,2,A,0,1,A
24/01/2021,13:30,Twente,VVV Venlo,0,1,A,0,0,D
24/01/2021,13:30,Utrecht,Sparta Rotterdam,1,0,H,0,0,D
24/01/2021,15:45,Feyenoord,AZ Alkmaar,2,3,A,1,1,D
26/01/2021,17:45,Zwolle,Heracles,2,2,D,0,2,A
26/01/2021,19:00,FC Emmen,PSV Eindhoven,0,2,A,0,0,D
26/01/2021,20:00,Groningen,Den Haag,3,0,H,2,0,H
27/01/2021,17:45,AZ Alkmaar,Utrecht,0,1,A,0,0,D
27/01/2021,19:00,VVV Venlo,Vitesse,4,1,H,3,0,H
27/01/2021,19:00,Waalwijk,For Sittard,1,2,A,0,0,D
27/01/2021,20:00,Heerenveen,Feyenoord,3,0,H,2,0,H
28/01/2021,20:00,Ajax,Willem II,3,1,H,0,0,D
28/01/2021,17:45,Sparta Rotterdam,Twente,0,0,D,0,0,D
30/01/2021,15:30,Heracles,Groningen,1,0,H,1,0,H
30/01/2021,17:45,Utrecht,Zwolle,3,3,D,1,2,A
30/01/2021,19:00,For Sittard,VVV Venlo,3,2,H,1,0,H
30/01/2021,20:00,Vitesse,Waalwijk,1,1,D,0,0,D
31/01/2021,11:15,Twente,Heerenveen,0,0,D,0,0,D
31/01/2021,13:30,Feyenoord,PSV Eindhoven,3,1,H,3,0,H
31/01/2021,13:30,Willem II,FC Emmen,2,0,H,1,0,H
31/01/2021,15:45,AZ Alkmaar,Ajax,0,3,A,0,1,A
31/01/2021,15:45,Den Haag,Sparta Rotterdam,1,1,D,1,0,H
05/02/2021,19:00,For Sittard,Heracles,0,1,A,0,1,A
06/02/2021,13:00,FC Emmen,AZ Alkmaar,0,1,A,0,0,D
06/02/2021,13:00,Zwolle,Waalwijk,1,1,D,0,1,A
06/02/2021,15:30,Heerenveen,Vitesse,1,0,H,0,0,D
06/02/2021,15:30,PSV Eindhoven,Twente,3,0,H,2,0,H
12/02/2021,17:45,Waalwijk,FC Emmen,1,0,H,0,0,D
13/02/2021,11:00,Groningen,Zwolle,1,0,H,1,0,H
13/02/2021,13:15,Sparta Rotterdam,For Sittard,1,2,A,1,1,D
13/02/2021,15:30,Den Haag,PSV Eindhoven,2,2,D,1,0,H
13/02/2021,17:45,Heracles,Ajax,0,2,A,0,1,A
14/02/2021,11:15,AZ Alkmaar,Heerenveen,3,1,H,1,0,H
14/02/2021,13:30,Feyenoord,Willem II,5,0,H,1,0,H
14/02/2021,13:30,Utrecht,VVV Venlo,3,1,H,0,0,D
14/02/2021,15:45,Vitesse,Twente,0,2,A,0,1,A
19/02/2021,19:00,Willem II,Utrecht,0,6,A,0,3,A
20/02/2021,17:45,FC Emmen,Zwolle,3,2,H,2,1,H
20/02/2021,19:00,VVV Venlo,AZ Alkmaar,1,4,A,1,1,D
20/02/2021,20:00,For Sittard,Den Haag,2,0,H,1,0,H
21/02/2021,11:15,Twente,Feyenoord,2,2,D,2,1,H
21/02/2021,13:30,Heerenveen,Groningen,1,1,D,1,0,H
21/02/2021,13:30,Waalwijk,Heracles,3,0,H,2,0,H
21/02/2021,15:45,PSV Eindhoven,Vitesse,3,1,H,0,1,A
21/02/2021,19:00,Ajax,Sparta Rotterdam,4,2,H,3,0,H
24/02/2021,15:30,Willem II,Den Haag,1,1,D,0,0,D
24/02/2021,17:45,Groningen,Feyenoord,0,0,D,0,0,D
26/02/2021,19:00,Zwolle,Heerenveen,4,1,H,0,1,A
27/02/2021,15:30,Utrecht,FC Emmen,0,1,A,0,1,A
27/02/2021,17:45,Den Haag,Waalwijk,0,0,D,0,0,D
27/02/2021,19:00,Vitesse,VVV Venlo,4,1,H,1,1,D
27/02/2021,20:00,Heracles,Twente,2,2,D,1,1,D
28/02/2021,11:15,Sparta Rotterdam,Willem II,0,2,A,0,0,D
28/02/2021,13:30,Groningen,For Sittard,1,0,H,0,0,D
28/02/2021,13:30,PSV Eindhoven,Ajax,1,1,D,1,0,H
28/02/2021,15:45,AZ Alkmaar,Feyenoord,4,2,H,2,2,D
05/03/2021,19:00,FC Emmen,Sparta Rotterdam,1,1,D,0,1,A
06/03/2021,15:30,Feyenoord,VVV Venlo,6,0,H,3,0,H
06/03/2021,17:45,Twente,Willem II,1,1,D,0,0,D
06/03/2021,19:00,Heerenveen,Den Haag,3,0,H,1,0,H
06/03/2021,20:00,Waalwijk,Utrecht,1,2,A,0,1,A
07/03/2021,11:15,Ajax,Groningen,3,1,H,1,0,H
07/03/2021,13:30,For Sittard,PSV Eindhoven,1,3,A,0,2,A
07/03/2021,13:30,Heracles,Zwolle,2,1,H,0,0,D
07/03/2021,15:45,Vitesse,AZ Alkmaar,2,1,H,1,0,H
09/03/2021,17:45,VVV Venlo,Sparta Rotterdam,0,1,A,0,0,D
13/03/2021,15:30,Willem II,Heerenveen,3,1,H,1,0,H
13/03/2021,17:45,Den Haag,Heracles,1,2,A,0,0,D
13/03/2021,19:00,AZ Alkmaar,Twente,4,1,H,3,1,H
13/03/2021,19:00,Groningen,FC Emmen,1,1,D,0,1,A
13/03/2021,20:00,Sparta Rotterdam,Waalwijk,2,0,H,0,0,D
14/03/2021,11:15,VVV Venlo,For Sittard,1,3,A,0,1,A
14/03/2021,13:30,PSV Eindhoven,Feyenoord,1,1,D,1,1,D
14/03/2021,13:30,Utrecht,Vitesse,1,3,A,1,1,D
14/03/2021,15:45,Zwolle,Ajax,0,2,A,0,2,A
19/03/2021,19:00,Heerenveen,Twente,0,0,D,0,0,D
20/03/2021,15:30,For Sittard,Utrecht,0,1,A,0,0,D
20/03/2021,19:00,Feyenoord,FC Emmen,1,1,D,1,0,H
20/03/2021,20:00,Waalwijk,Groningen,3,1,H,2,1,H
21/03/2021,11:15,Zwolle,VVV Venlo,2,1,H,0,0,D
21/03/2021,13:30,AZ Alkmaar,PSV Eindhoven,2,0,H,1,0,H
21/03/2021,13:30,Vitesse,Willem II,0,0,D,0,0,D
21/03/2021,15:45,Heracles,Sparta Rotterdam,1,1,D,0,0,D
21/03/2021,19:00,Ajax,Den Haag,5,0,H,4,0,H
03/04/2021,17:45,VVV Venlo,Groningen,0,1,A,0,0,D
03/04/2021,19:00,Twente,Vitesse,1,2,A,1,1,D
03/04/2021,19:00,Willem II,AZ Alkmaar,0,1,A,0,0,D
03/04/2021,20:00,Sparta Rotterdam,Zwolle,3,2,H,1,0,H
04/04/2021,11:15,Feyenoord,For Sittard,2,0,H,0,0,D
04/04/2021,13:30,Den Haag,Utrecht,1,4,A,0,3,A
04/04/2021,13:30,PSV Eindhoven,Heracles,3,0,H,2,0,H
04/04/2021,15:45,FC Emmen,Waalwijk,3,1,H,3,0,H
04/04/2021,15:45,Heerenveen,Ajax,1,2,A,1,1,D
09/04/2021,19:00,Vitesse,Den Haag,0,0,D,0,0,D
10/04/2021,17:45,Heracles,Willem II,4,0,H,2,0,H
10/04/2021,19:00,AZ Alkmaar,Sparta Rotterdam,2,0,H,1,0,H
10/04/2021,19:00,For Sittard,FC Emmen,1,3,A,0,0,D
10/04/2021,20:00,Zwolle,Twente,1,0,H,1,0,H
11/04/2021,11:15,Utrecht,Feyenoord,1,2,A,1,1,D
11/04/2021,13:30,Groningen,Heerenveen,0,2,A,0,0,D
11/04/2021,13:30,VVV Venlo,PSV Eindhoven,0,2,A,0,1,A
11/04/2021,15:45,Waalwijk,Ajax,0,1,A,0,1,A
22/04/2021,17:45,Ajax,Utrecht,1,1,D,0,1,A
23/04/2021,17:45,Willem II,Waalwijk,1,0,H,0,0,D
24/04/2021,15:30,Heerenveen,Zwolle,0,2,A,0,1,A
24/04/2021,17:45,PSV Eindhoven,Groningen,1,0,H,0,0,D
24/04/2021,17:45,Sparta Rotterdam,VVV Venlo,2,0,H,1,0,H
25/04/2021,11:15,FC Emmen,Heracles,3,1,H,0,0,D
25/04/2021,13:30,Ajax,AZ Alkmaar,2,0,H,0,0,D
25/04/2021,13:30,Den Haag,For Sittard,0,3,A,0,1,A
25/04/2021,15:45,Feyenoord,Vitesse,0,0,D,0,0,D
25/04/2021,15:45,Twente,Utrecht,1,2,A,1,0,H
01/05/2021,15:30,Heracles,VVV Venlo,4,0,H,2,0,H
01/05/2021,17:45,For Sittard,Twente,3,0,H,1,0,H
01/05/2021,19:00,Vitesse,Zwolle,2,1,H,1,0,H
01/05/2021,19:00,Waalwijk,AZ Alkmaar,1,3,A,1,1,D
01/05/2021,20:00,Utrecht,Willem II,3,2,H,2,0,H
02/05/2021,11:15,Den Haag,Feyenoord,3,2,H,2,1,H
02/05/2021,13:30,Ajax,FC Emmen,4,0,H,1,0,H
02/05/2021,13:30,Groningen,Sparta Rotterdam,1,2,A,0,1,A
02/05/2021,15:45,PSV Eindhoven,Heerenveen,2,2,D,0,1,A
07/05/2021,19:00,Sparta Rotterdam,Vitesse,3,0,H,1,0,H
08/05/2021,15:30,Twente,Heracles,1,1,D,0,0,D
08/05/2021,17:45,Heerenveen,Utrecht,0,0,D,0,0,D
08/05/2021,19:00,AZ Alkmaar,For Sittard,1,0,H,1,0,H
08/05/2021,20:00,VVV Venlo,Waalwijk,3,3,D,2,2,D
09/05/2021,11:15,FC Emmen,Groningen,0,4,A,0,1,A
09/05/2021,13:30,Feyenoord,Ajax,0,3,A,0,1,A
09/05/2021,13:30,Zwolle,Den Haag,0,1,A,0,1,A
09/05/2021,15:45,Willem II,PSV Eindhoven,0,2,A,0,1,A
13/05/2021,13:30,Ajax,VVV Venlo,3,1,H,1,0,H
13/05/2021,13:30,Den Haag,Willem II,1,4,A,0,3,A
13/05/2021,13:30,FC Emmen,Heerenveen,3,1,H,1,0,H
13/05/2021,13:30,For Sittard,Vitesse,3,3,D,2,2,D
13/05/2021,13:30,Groningen,AZ Alkmaar,0,0,D,0,0,D
13/05/2021,13:30,Heracles,Feyenoord,1,1,D,0,0,D
13/05/2021,13:30,PSV Eindhoven,Zwolle,4,2,H,3,0,H
13/05/2021,13:30,Sparta Rotterdam,Utrecht,0,0,D,0,0,D
13/05/2021,13:30,Waalwijk,Twente,2,1,H,0,0,D
16/05/2021,13:30,AZ Alkmaar,Heracles,5,0,H,1,0,H
16/05/2021,13:30,Feyenoord,Waalwijk,3,0,H,2,0,H
16/05/2021,13:30,Heerenveen,Sparta Rotterdam,1,2,A,0,2,A
16/05/2021,13:30,Twente,Den Haag,3,2,H,2,2,D
16/05/2021,13:30,Utrecht,PSV Eindhoven,1,1,D,1,0,H
16/05/2021,13:30,Vitesse,Ajax,1,3,A,1,2,A
16/05/2021,13:30,VVV Venlo,FC Emmen,0,4,A,0,1,A
16/05/2021,13:30,Willem II,For Sittard,2,1,H,1,0,H
16/05/2021,13:30,Zwolle,Groningen,1,0,H,0,0,D
13/08/2021,19:00,Go Ahead Eagles,Heerenveen,0,1,A,0,1,A
14/08/2021,15:30,Waalwijk,AZ Alkmaar,1,0,H,1,0,H
14/08/2021,17:45,Heracles,PSV Eindhoven,0,2,A,0,1,A
14/08/2021,19:00,For Sittard,Twente,2,1,H,0,1,A
14/08/2021,20:00,Ajax,Nijmegen,5,0,H,5,0,H
15/08/2021,11:15,Cambuur,Groningen,1,2,A,0,1,A
15/08/2021,13:30,Utrecht,Sparta Rotterdam,4,0,H,1,0,H
15/08/2021,13:30,Zwolle,Vitesse,0,1,A,0,1,A
